# locator_insert_force 경로 inclusive 함수 표 — 전체 529개 (컷오프 없음)
# denom = root_samples = 43840

 %of_root   samples  func
  100.000     43840  locator_insert_force
   86.152     37769  heap_insert_logical
   34.375     15070  heap_get_insert_location_with_lock
   33.830     14831  heap_stats_find_best_page
   27.753     12167  log_append_undoredo_crumbs
   23.127     10139  heap_vpid_alloc
   20.901      9163  lock_object
   19.441      8523  lock_internal_perform_lock_object
   18.150      7957  file_alloc
   17.671      7747  heap_log_insert_physical
   15.039      6593  prior_lsa_next_record_internal
   14.865      6517  __GI___libc_malloc
   13.955      6118  prior_lsa_alloc_and_copy_crumbs
   12.331      5406  cubthread::lockfree_hashmap<lk_res_key, lk_res>::find_or_insert
   12.256      5373  _int_malloc
   11.955      5241  lf_hash_insert_internal
   11.651      5108  lf_list_insert_internal
   11.547      5062  cub_alloc
   11.065      4851  __GI___pthread_mutex_lock
   10.698      4690  spage_insert_at
    9.968      4370  locator_add_or_remove_index_internal
    9.856      4321  prior_lsa_gen_undoredo_record_from_crumbs
    9.683      4245  __memmove_evex_unaligned_erms
    9.366      4106  sysmalloc
    9.268      4063  log_append_undoredo_data
    9.250      4055  spage_insert_data
    8.499      3726  lf_freelist_claim
    8.250      3617  __GI___mprotect
    7.753      3399  __pthread_mutex_unlock_usercnt
    6.763      2965  lf_freelist_alloc_block
    6.460      2832  lock_res_key_compare
    5.839      2560  pgbuf_fix_release
    5.342      2342  __lll_lock_wait
    5.141      2254  pgbuf_claim_bcb_for_fix
    4.601      2017  heap_stats_find_page_in_bestspace
    4.457      1954  LSA_SET_NULL
    4.416      1936  log_zip
    4.393      1926  fileio_init_lsa_of_page
    4.377      1919  pgbuf_unfix
    4.293      1882  __lll_unlock_wake
    4.161      1824  file_perm_alloc
    3.848      1687  log_sysop_commit_internal
    3.501      1535  LZ4_resetStream_fast
    3.317      1454  locator_check_foreign_key
    3.301      1447  LOG_FIND_TDES
    3.294      1444  log_append_sysop_end
    3.264      1431  heap_get_class_name_alloc_if_diff
    3.191      1399  __memset_evex_unaligned_erms
    3.091      1355  lock_alloc_resource
    3.086      1353  heap_attrinfo_end
    2.958      1297  heap_vpid_init_new
    2.701      1184  pgbuf_unlatch_bcb_upon_unfix
    2.406      1055  heap_classrepr_free
    2.130       934  log_sysop_end_logical_undo
    2.007       880  spage_get_total_saved_spaces
    2.005       879  log_append_undoredo_data2
    1.930       846  spage_get_saved_spaces
    1.909       837  heap_stats_add_bestspace
    1.898       832  heap_attrinfo_start_with_index
    1.793       786  heap_attrinfo_read_dbvalues
    1.736       761  log_sysop_commit
    1.512       663  spage_has_enough_total_space
    1.494       655  prior_lsa_alloc_and_copy_data
    1.476       647  lf_hash_find
    1.432       628  spage_find_empty_slot_at
    1.225       537  prior_lsa_copy_redo_data_to_node
    1.147       503  heap_scancache_end
    1.143       501  heap_scancache_quick_end
    1.141       500  heap_mvcc_log_insert
    1.131       496  spage_check_space
    0.999       438  spage_max_space_for_new_record
    0.931       408  heap_attrvalue_read
    0.871       382  lf_list_find
    0.833       365  lf_stack_pop
    0.833       365  heap_classrepr_get
    0.798       350  heap_get_class_record
    0.778       341  logtb_get_current_mvccid
    0.762       334  spage_insert
    0.687       301  lock_event_set_xasl_id_to_entry
    0.650       285  spage_find_empty_slot
    0.648       284  cub_strdup
    0.643       282  lock_find_class_entry
    0.623       273  mht_get
    0.614       269  lock_get_class_lock
    0.604       265  pgbuf_unlatch_void_zone_bcb
    0.595       261  log_sysop_start_atomic
    0.573       251  mht_get2
    0.538       236  heap_attrvalue_point_fixed
    0.525       230  logtb_find_client_type
    0.511       224  prior_lsa_copy_redo_crumbs_to_node
    0.511       224  mvcc_is_mvcc_disabled_class
    0.497       218  pgbuf_set_dirty_buffer_ptr
    0.479       210  pgbuf_set_dirty
    0.472       207  heap_attrvalue_get_key
    0.470       206  prior_lsa_gen_record
    0.452       198  prior_lsa_start_append
    0.427       187  pgbuf_allocate_bcb
    0.411       180  lock_initialize_entry_as_granted
    0.408       179  prior_lsa_copy_undo_crumbs_to_node
