# 전체 on-CPU inclusive 함수 표 — 1840개 (컷오프 없음)
# denom = total_samples = 147236

  %total   samples  func
  29.775     43840  locator_insert_force
  25.664     37786  heap_insert_logical
  24.360     35866  __GI___clone
  24.354     35858  execute_native_thread_routine
  24.354     35858  start_thread
  19.523     28745  log_append_undoredo_crumbs
  15.916     23434  prior_lsa_alloc_and_copy_crumbs
  13.700     20172  cubthread::worker_pool::core::worker::run
  12.718     18726  cubconn::connection::worker::run
  12.087     17796  prior_lsa_gen_undoredo_record_from_crumbs
  11.937     17576  heap_stats_find_best_page
  11.442     16847  heap_log_insert_physical
  10.918     16075  cubthread::worker_pool::core::worker::execute_current_task
  10.844     15966  locator_add_or_remove_index_internal
  10.641     15667  css_server_task::execute
  10.235     15070  heap_get_insert_location_with_lock
   9.959     14663  log_zip
   9.425     13877  net_server_request
   9.009     13265  cubthread::daemon::loop_with_context
   8.835     13009  LZ4_compress_fast_extState
   8.488     12498  prior_lsa_next_record_internal
   7.875     11595  log_append_undoredo_data
   7.674     11299  __GI___libc_malloc
   7.603     11195  __pthread_cond_timedwait
   7.165     10550  btree_insert
   7.070     10410  btree_insert_internal
   6.922     10192  _int_malloc
   6.887     10140  heap_vpid_alloc
   6.456      9506  cub_alloc
   6.413      9442  slocator_repl_force
   6.283      9251  __GI___pthread_mutex_lock
   6.245      9195  lock_object
   5.806      8549  lock_internal_perform_lock_object
   5.787      8520  cubthread::looper::put_to_sleep
   5.558      8184  cubthread::waiter::wait_for
   5.455      8032  file_alloc
   5.289      7788  btree_search_key_and_apply_functions
   5.192      7645  __memmove_evex_unaligned_erms
   5.050      7436  cubsocket::epoll::wait
   5.026      7400  __pthread_mutex_unlock_usercnt
   5.021      7392  epoll_wait
   4.958      7300  pgbuf_fix_release
   4.692      6909  cubconn::connection::worker::eventfd_handler
   4.411      6494  sysmalloc
   4.105      6044  cubconn::connection::worker::handle_message_queue
   4.051      5965  btree_fix_root_for_insert
   3.863      5688  cubconn::connection::worker::handle_reception
   3.833      5644  lf_hash_insert_internal
   3.788      5577  xlocator_repl_force
   3.751      5523  btree_key_insert_new_key
   3.697      5443  __GI___mprotect
   3.683      5423  cubthread::lockfree_hashmap<lk_res_key, lk_res>::find_or_insert
   3.676      5412  log_append_undo_data2
   3.659      5387  log_append_undo_crumbs
   3.580      5271  lf_list_insert_internal
   3.435      5058  spage_insert_at
   3.329      4902  logtb_tran_update_unique_stats
   3.253      4789  cubconn::connection::worker::handle_message_queue_by_index
   2.995      4409  __lll_lock_wait
   2.939      4327  __lll_unlock_wake
   2.873      4230  spage_insert_data
   2.738      4031  cubthread::worker_pool::core::worker::get_new_task
   2.660      3916  log_flush_execute
   2.653      3906  logpb_flush_pages_direct
   2.532      3728  lf_freelist_claim
   2.478      3648  lock_res_key_compare
   2.471      3638  logpb_prior_lsa_append_all_list
   2.438      3589  pgbuf_unfix
   2.326      3425  vacuum_process_log_block
   2.318      3413  logpb_append_prior_lsa_list
   2.309      3399  cubconn::receiver::drain
   2.194      3231  btree_split_node_and_advance
   2.154      3172  cubconn::receiver::receive
   2.133      3141  __libc_recv
   2.014      2965  lf_freelist_alloc_block
   2.006      2954  btree_vacuum_insert_mvccid
   2.002      2948  btree_delete_internal
   1.957      2881  LOG_FIND_TDES
   1.888      2780  stran_server_commit
   1.870      2753  log_commit
   1.869      2752  xtran_server_commit
   1.855      2731  log_commit_local
   1.798      2647  lock_unlock_all
