# locator_update_force 경로 inclusive 함수 표 — 전체 401개 (컷오프 없음)
# denom = root_samples = 29001

 %of_root   samples  func
  100.000     29001  locator_update_force
   71.580     20759  heap_update_logical
   47.340     13729  heap_log_update_physical
   45.457     13183  log_append_undoredo_recdes
   45.271     13129  log_append_undoredo_recdes2
   45.150     13094  log_append_undoredo_crumbs
   39.147     11353  prior_lsa_alloc_and_copy_crumbs
   31.682      9188  prior_lsa_gen_undoredo_record_from_crumbs
   23.341      6769  log_diff
   23.016      6675  locator_lock_and_get_object_with_evaluation
   19.537      5666  heap_update_home
   19.358      5614  locator_lock_and_get_object_internal
   17.696      5132  __memmove_evex_unaligned_erms
   15.110      4382  spage_update
   13.010      3773  spage_update_record_after_compact
   11.827      3430  lock_object
   11.175      3241  lock_internal_perform_lock_object
    8.489      2462  spage_compact
    8.465      2455  lock_escalate_if_needed
    8.310      2410  lock_remove_all_inst_locks
    7.269      2108  log_zip
    6.958      2018  heap_get_last_version
    6.524      1892  spage_get_record_data
    6.010      1743  heap_get_record_data_when_all_ready
    5.693      1651  LZ4_resetStream_fast
    5.400      1566  __GI___libc_malloc
    5.245      1521  __memset_evex_unaligned_erms
    4.969      1441  cub_alloc
    4.158      1206  spage_check_updatable
    4.138      1200  lock_remove_resource
    4.107      1191  lf_hash_delete_already_locked
    3.914      1135  lf_list_delete
    3.765      1092  _int_malloc
    3.748      1087  spage_has_enough_total_space
    3.600      1044  locator_check_foreign_key
    3.493      1013  prior_lsa_next_record_internal
    3.262       946  lock_internal_perform_unlock_object
    2.972       862  spage_get_total_saved_spaces
    2.938       852  pgbuf_unfix
    2.896       840  lf_freelist_retire
    2.824       819  lock_res_key_compare
    2.752       798  spage_is_updatable
    2.738       794  spage_get_saved_spaces
    2.590       751  __GI___pthread_mutex_lock
    2.245       651  lf_hash_find
    2.241       650  __pthread_mutex_unlock_usercnt
    2.217       643  lf_freelist_transport
    2.145       622  _int_free
    1.934       561  lock_dealloc_entry
    1.931       560  cubthread::lockfree_hashmap<lk_res_key, lk_res>::find_or_insert
    1.862       540  pgbuf_unlatch_bcb_upon_unfix
    1.845       535  heap_scan_cache_allocate_area
    1.779       516  lf_hash_insert_internal
    1.572       456  heap_attrinfo_start_with_index
    1.528       443  heap_clean_get_context
    1.493       433  lf_list_insert_internal
    1.348       391  lf_list_find
    1.345       390  LOG_FIND_TDES
    1.231       357  heap_scancache::reserve_area
    1.203       349  prior_lsa_copy_undo_data_to_node
