# 전체 on-CPU inclusive 함수 표 — 1615개 (컷오프 없음)
# denom = total_samples = 126337

  %total   samples  func
  33.293     42062  __GI___clone
  33.278     42043  start_thread
  33.274     42037  execute_native_thread_routine
  27.144     34293  log_append_undoredo_crumbs
  27.135     34281  log_append_undoredo_recdes2
  26.251     33165  log_append_undoredo_recdes
  25.782     32572  prior_lsa_alloc_and_copy_crumbs
  23.210     29323  cubthread::worker_pool::core::worker::run
  22.955     29001  locator_update_force
  22.000     27794  heap_log_update_physical
  20.365     25729  cubthread::worker_pool::core::worker::execute_current_task
  20.113     25410  css_server_task::execute
  19.178     24229  css_internal_request_handler
  18.957     23950  net_server_request
  18.413     23263  log_zip
  17.781     22464  slocator_repl_force
  16.648     21032  LZ4_compress_fast_extState
  16.468     20805  heap_update_logical
  16.085     20321  prior_lsa_gen_undoredo_record_from_crumbs
  15.076     19046  xlocator_repl_force
  11.835     14952  cubconn::connection::worker::run
   8.691     10980  xbtree_find_unique
   8.197     10356  cubthread::daemon::loop_with_context
   8.194     10352  __pthread_cond_timedwait
   7.003      8847  lock_object
   6.716      8485  __memmove_evex_unaligned_erms
   6.572      8303  cubthread::looper::put_to_sleep
   6.362      8038  lock_internal_perform_lock_object
   6.349      8021  cubthread::waiter::wait_for
   5.358      6769  log_diff
   5.296      6691  locator_lock_and_get_object_with_evaluation
   4.638      5859  cubsocket::epoll::wait
   4.615      5831  epoll_wait
   4.490      5673  heap_update_home
   4.465      5641  locator_lock_and_get_object_internal
   4.450      5622  cubconn::connection::worker::eventfd_handler
   4.197      5302  locator_update_index
   4.036      5099  btree_key_find_and_lock_unique
   4.011      5068  btree_key_find_and_lock_unique_of_unique
   3.990      5041  cubconn::connection::worker::handle_message_queue
   3.898      4925  LZ4_read_ARCH
   3.843      4855  btree_key_lock_object
   3.798      4798  cubconn::connection::worker::handle_reception
   3.792      4791  btree_search_key_and_apply_functions
   3.663      4628  spage_update
   3.508      4432  pgbuf_fix_release
   3.375      4264  lf_hash_insert_internal
   3.177      4014  spage_get_record_data
